Subject ID,Bacteroides,Unclassified,Faecalibacterium,Prevotella,Blautia,Bifidobacterium,Roseburia,Parabacteroides,Subdoligranulum
N000021,933,900,128,4455,358,0,41,129,0
N000233,3813,1461,1064,0,208,529,201,641,0
N000312,1023,2689,471,2391,1083,37,244,79,70
N000344,3757,752,1,3,767,623,669,218,0
N000420,5114,1050,972,3,128,73,287,281,175
N000487,469,562,544,5117,424,0,315,174,95
N000503,1299,1522,696,4494,214,193,130,94,0
N000576,3198,666,4306,2,127,658,329,1,51
N000636,1045,1477,792,3212,144,91,855,137,29
N000664,1416,2452,228,1,146,1036,205,363,73
N000733,4601,1640,0,0,723,0,1176,0,0
N000774,4231,1129,0,0,860,1128,355,168,0
N000812,1880,4761,542,0,296,0,366,82,113
N000846,3768,1796,705,0,691,194,323,343,400
N000885,1165,3397,2544,0,312,33,654,46,228
N000902,3710,577,67,3,0,1437,0,756,0
N000933,2828,1462,372,1,315,293,206,638,434
N000968,5952,1333,1199,0,257,195,7,0,2
N001055,1699,854,1,0,819,1461,3,47,291
N001128,2754,968,329,0,229,1127,46,337,18
N001131,1092,1897,2770,352,216,74,74,123,647
N001196,2944,1391,791,0,1917,516,93,146,294
N001288,1903,650,432,0,547,1148,653,133,475
N001318,698,4816,936,3,358,17,178,53,206
N001366,3258,1007,1949,3,271,383,291,477,0
N001634,4485,586,1234,0,492,59,290,132,206
N001678,2688,871,1174,0,330,188,947,1129,156
N001709,3277,1075,1486,0,493,349,355,433,230
N001740,642,3699,1467,5,85,433,148,395,190
N001796,4578,559,336,1,254,1932,32,224,14
N001829,771,1260,169,3666,357,139,84,101,121
N001836,2523,1138,1975,1,1249,409,188,81,355
N001980,1565,2167,783,1,317,1334,332,166,301
N002001,2402,952,563,0,1262,463,1217,253,577
N002004,2136,366,279,2570,57,432,28,410,32
N002105,3229,2941,436,0,331,149,180,310,241
N002148,4656,1025,614,0,90,510,112,149,182
N002188,3525,1189,0,1,415,598,593,0,5
N002203,3228,1382,1116,0,783,1525,115,50,274
N002385,1193,1018,658,2607,412,328,168,517,233
N002397,2166,1191,1162,2,807,524,1309,225,794
N002403,4057,949,466,0,104,511,1007,0,327
N002641,4034,1394,272,2,356,263,416,879,20
N002868,2560,1117,2747,2,102,494,497,47,29
N002929,4884,929,853,2,288,297,241,569,74
N003081,2302,530,628,0,331,1747,1641,769,0
N003462,4434,1286,720,379,327,93,458,137,17
N003591,3559,506,5,1849,386,0,226,1354,13
N003643,2864,1949,1448,0,934,107,789,131,203
N003672,2035,1574,2199,1292,73,20,157,235,469
N003680,1698,1466,175,1,937,3175,188,145,0
N003836,3307,1198,1976,0,267,119,700,102,450
N003925,5287,1192,1033,0,167,42,965,19,114
N003985,4860,1629,2,0,31,86,636,459,775
N003994,4283,1250,1133,0,623,36,507,191,213
N004021,6423,1003,74,0,477,105,295,90,6
N004290,2961,1172,521,0,744,392,703,130,165
N004361,601,1341,569,5569,491,4,495,27,133
N004510,2021,2491,1806,3,322,69,83,118,470
N004550,3472,344,25,3,57,549,0,748,3
N004557,3287,813,201,0,592,2900,275,17,72
N004580,5084,1035,594,0,202,463,303,151,485
N004722,6058,402,589,3,289,70,338,129,165
N004753,5281,1061,297,0,1147,16,109,0,318
N004761,5881,817,130,0,794,268,2,91,2
N004779,3950,779,25,3,491,254,328,167,0
N004781,595,7752,1086,2,21,10,175,15,73
N004851,2177,1810,1117,0,74,18,328,44,267
N004943,3954,1418,0,0,831,753,702,113,0
N004959,4282,952,717,0,1160,176,232,280,394
N005025,5244,506,271,0,714,168,922,564,212
N005126,1125,203,92,5967,290,269,46,83,0
N005401,1448,401,0,0,591,2487,0,4374,0
N005419,3156,2243,523,1211,255,22,189,104,100
N005452,3701,828,0,0,962,168,0,257,0
N005657,4814,810,2867,3,67,59,3,126,123
N005694,3983,727,14,1170,556,90,16,59,1
N005698,3069,1052,898,12,140,2917,1,267,494
N005738,2159,2331,144,2,894,49,556,36,38
N005799,3114,1896,2073,1,187,365,986,98,143
N005817,6617,1031,2,0,426,0,0,0,69
N005864,1384,1742,1094,0,1198,370,55,3,0
N005888,1523,3330,1555,0,398,27,176,158,195
N005995,6508,757,304,2,258,21,499,0,115
N006026,5138,565,647,0,163,966,273,94,338
N006032,2765,706,675,0,566,1395,284,49,1
N006107,1236,889,491,3216,860,206,388,67,141
N006184,1765,651,841,1658,1054,146,788,130,67
N006308,2235,1994,1724,0,1862,67,183,56,169
N006390,4434,1256,1,819,52,230,1,210,1025
N006398,1672,1355,81,0,1374,195,369,30,31
N006520,2974,1493,9,36,330,320,76,1574,878
N006603,1721,2776,552,5,731,928,46,4,529
N006608,3297,1348,578,2,484,1164,68,112,1
N006651,4695,1209,615,0,211,349,42,197,265
N006660,844,3644,686,786,151,27,206,48,324
N006773,611,2163,849,3025,546,21,81,64,182
N006781,1602,1676,394,1,937,402,477,99,933
